     theta       phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
--------------------------------------------------------------------------------------------------------------------------
     0.000     0.000     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000     4.045     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000     8.090     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    12.135     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    16.180     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    20.225     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    24.270     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    28.315     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    32.360     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    36.404     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    40.449     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    44.494     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    48.539     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    52.584     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    56.629     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    60.674     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    64.719     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    68.764     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    72.809     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    76.854     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    80.899     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    84.944     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    88.989     0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    93.034    -0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000    97.079    -0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000   101.124    -0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000   105.169    -0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000   109.213    -0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000   113.258    -0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
     0.000   117.303    -0.000000     0.000000     0.100000   -3007.908153083377   -3007.912670652512   -3007.916555460535
